Id,MSZoning,LotConfig,BldgType,Exterior1st,MSSubClass,LotArea,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF2,TotalBsmtSF,SalePrice
170,RM,Inside,1Fam,MetalSd,50,12358,6,1941,1950,0,720,128500
463,RL,Inside,1Fam,Stucco,70,11988,7,1934,1995,0,715,188700
43,RL,CulDSac,1Fam,VinylSd,20,9200,6,1975,1980,491,938,130250
87,FV,Corner,TwnhsE,VinylSd,160,3951,5,2009,2009,0,612,164500
2318,RL,Inside,1Fam,VinylSd,60,7713,5,2007,2007,0,728,
772,RL,Inside,1Fam,Plywood,80,7819,5,1976,1976,127,1029,107000
282,RL,Inside,Twnhs,VinylSd,120,5063,5,2007,2008,0,1314,207500
1491,RH,Corner,1Fam,Wd Sdng,30,9800,5,1920,1950,0,816,
498,RL,Inside,1Fam,HdBoard,20,7800,7,1967,2004,0,864,130000
2871,RL,Inside,1Fam,MetalSd,30,8088,3,1922,1955,0,498,
1094,RL,Inside,1Fam,MetalSd,20,5868,7,1956,2000,240,936,129000
1264,RH,Inside,TwnhsE,MetalSd,120,4060,5,1998,1999,0,1405,181000
1656,RL,Inside,TwnhsE,Plywood,160,2364,5,1978,1978,0,804,
2863,RL,Corner,1Fam,VinylSd,60,11060,5,2003,2005,0,1150,
1289,RL,Inside,1Fam,VinylSd,60,11065,5,2006,2006,0,1085,281000
2386,RL,Inside,1Fam,MetalSd,20,8050,6,1967,1993,38,949,
149,RM,Inside,1Fam,MetalSd,50,6240,4,1936,1950,0,896,115000
964,RL,Corner,1Fam,VinylSd,60,11316,5,2002,2003,0,817,214900
1538,RM,Inside,1Fam,Wd Sdng,70,9000,9,1890,2002,0,346,
2652,RL,Corner,1Fam,VinylSd,20,16163,5,2004,2004,0,1618,
1349,RM,Inside,1Fam,MetalSd,70,5250,5,1872,1987,0,684,122000
2052,RL,Corner,1Fam,Wd Sdng,20,11332,7,1960,2000,0,1118,
1423,RL,CulDSac,1Fam,Plywood,80,19690,7,1966,1966,0,697,274970
134,RL,Inside,1Fam,Plywood,20,10335,6,1968,1993,0,1461,180000
598,RL,Inside,1Fam,Plywood,20,12984,6,1977,1977,147,1430,217500
1299,RL,Inside,1Fam,BrkFace,20,7500,7,1959,1994,906,1246,154000
1675,RL,Inside,Twnhs,VinylSd,120,5122,5,2005,2005,0,1306,
999,RL,Inside,1Fam,VinylSd,20,6762,5,2006,2006,0,1187,206000
411,RL,Inside,2fmCon,Wd Sdng,190,34650,5,1955,1955,0,1056,145000
1411,RL,Inside,1Fam,VinylSd,50,9600,8,1950,2005,0,856,140000
1780,RL,Inside,1Fam,Wd Sdng,20,9600,6,1950,1950,0,1200,
2213,RM,Inside,1Fam,HdBoard,80,6000,5,1967,1967,0,624,
1628,RL,Inside,1Fam,HdBoard,80,8400,5,1996,1997,0,384,
809,RM,Corner,1Fam,AsbShng,75,8100,5,1898,1965,0,849,106000
685,RL,CulDSac,TwnhsE,HdBoard,160,5062,5,1984,1984,182,1190,207500
221,RL,Inside,1Fam,VinylSd,60,8068,5,2002,2002,0,1010,200000
1790,RL,Corner,Duplex,MetalSd,90,9671,5,1969,1969,0,1248,
2054,RL,Inside,1Fam,MetalSd,20,9600,6,1960,1960,0,1296,
2845,RL,Inside,1Fam,VinylSd,60,9930,5,2002,2002,0,826,
2019,RL,Inside,2fmCon,HdBoard,190,8450,5,1968,1968,0,890,
173,RL,Inside,1Fam,WdShing,20,10197,5,1961,1961,374,1362,163000
2633,RL,Inside,1Fam,VinylSd,20,18261,5,2005,2005,0,1910,
695,RL,Inside,1Fam,HdBoard,20,13811,6,1987,1987,40,1112,176000
2463,RM,Inside,1Fam,Wd Sdng,70,7755,8,1918,1995,0,1100,
1370,RL,Corner,1Fam,CBlock,50,5400,6,1920,1950,105,840,105000
1737,RL,Inside,1Fam,VinylSd,60,11949,8,1991,2008,216,975,
1357,RL,CulDSac,1Fam,VinylSd,20,12537,6,1971,2008,0,1078,149900
2708,RL,Inside,1Fam,HdBoard,20,8020,6,1964,1964,0,912,
314,RM,Inside,1Fam,Wd Sdng,70,9600,7,1925,1990,0,728,178000
152,RL,CulDSac,1Fam,HdBoard,60,14803,5,1971,1971,0,825,190000
2721,RL,Inside,1Fam,HdBoard,60,8640,5,1968,1968,483,900,
272,RL,CulDSac,1Fam,VinylSd,60,11764,7,1999,2007,0,1152,290000
270,FV,Inside,1Fam,VinylSd,60,10728,5,2006,2006,0,1095,266000
1053,RL,Inside,1Fam,HdBoard,20,8562,6,1957,2002,0,1216,144500
1503,FV,Inside,1Fam,VinylSd,60,7379,5,2000,2000,0,975,
1763,RL,Inside,1Fam,Wd Sdng,20,9768,5,1955,1955,247,960,
554,RL,Inside,1Fam,VinylSd,60,10625,5,2003,2004,0,998,284000
2632,RL,Inside,TwnhsE,MetalSd,120,8147,5,2005,2005,0,1714,
2614,RL,Inside,1Fam,Wd Sdng,20,11027,5,1954,1954,539,1178,
1322,RL,Inside,1Fam,HdBoard,60,10186,5,1992,1992,0,750,190000
1525,RL,Inside,2fmCon,MetalSd,190,13587,5,1958,1958,0,988,
705,RM,Inside,2fmCon,VinylSd,190,5600,5,1930,1950,0,0,55000
2590,RL,Inside,1Fam,HdBoard,20,19958,8,1958,1995,0,585,
2523,RL,Inside,1Fam,VinylSd,80,8660,5,1976,1976,0,1015,
2794,RM,Inside,1Fam,MetalSd,50,6120,7,1930,1984,0,741,
257,RL,Inside,1Fam,VinylSd,20,8814,5,2006,2006,0,1604,220000
1837,RM,Inside,2fmCon,MetalSd,190,10320,7,1915,1965,262,698,
139,RL,Inside,1Fam,VinylSd,60,15426,5,1997,1997,0,928,231500
746,RL,Inside,1Fam,VinylSd,60,8795,5,2000,2000,0,952,236000
2547,RL,CulDSac,Duplex,Plywood,90,9555,6,1979,1979,0,0,
2889,RM,Inside,1Fam,MetalSd,30,7030,6,1925,1950,0,641,
2522,RL,Inside,1Fam,HdBoard,20,11800,5,1974,1974,0,864,
254,RL,Inside,1Fam,MetalSd,20,8400,6,1957,1957,0,1314,145000
2166,RL,Inside,1Fam,VinylSd,20,8696,5,1997,1998,0,1418,
2904,,Inside,1Fam,CBlock,20,31250,3,1951,1951,0,0,
783,RL,Corner,1Fam,Plywood,85,9101,6,1978,1978,0,1097,165500
2258,RL,CulDSac,1Fam,HdBoard,60,7655,5,1993,1994,0,903,
168,RL,Inside,1Fam,VinylSd,60,8244,5,2004,2004,0,840,183500
1316,RL,Inside,1Fam,VinylSd,20,10226,5,2008,2008,0,1622,295493
2175,RL,CulDSac,1Fam,VinylSd,20,14860,5,2002,2003,0,1778,
881,RL,CulDSac,1Fam,HdBoard,50,13758,5,1990,1991,0,1156,187500
1334,RM,Inside,TwnhsE,HdBoard,160,2368,6,1970,1970,0,765,125000
291,RL,Inside,2fmCon,VinylSd,190,5687,6,1912,2000,0,780,135900
949,RL,Inside,1Fam,Plywood,20,9360,7,1972,2006,0,1161,197500
2616,RL,Corner,1Fam,Wd Sdng,20,11765,5,1957,1957,0,1617,
408,RL,Corner,1Fam,VinylSd,60,14154,5,2006,2006,0,1063,280000
2682,RL,Inside,1Fam,MetalSd,60,17242,5,1993,1994,1393,1733,
2293,RL,CulDSac,1Fam,MetalSd,60,13654,5,2005,2006,0,1704,
135,RL,Inside,1Fam,Plywood,20,10400,6,1970,1970,0,1304,174000
2413,RL,Inside,1Fam,VinylSd,20,11556,9,1953,2006,0,864,
2170,RL,Inside,1Fam,HdBoard,20,12250,6,1978,1978,0,864,
840,RH,Inside,1Fam,Wd Sdng,70,12155,8,1925,1950,0,672,140000
367,RL,Corner,1Fam,Plywood,80,9150,5,1962,1962,0,1099,165000
2586,RL,CulDSac,1Fam,HdBoard,20,9928,5,1991,1992,0,1454,
1364,FV,Inside,TwnhsE,MetalSd,160,3180,5,2005,2005,0,600,144152
2210,RM,Inside,1Fam,VinylSd,30,7000,8,1926,1998,40,894,
2782,RM,Inside,1Fam,MetalSd,70,7614,5,1905,1950,0,738,
1721,RL,Inside,1Fam,VinylSd,20,13072,5,2004,2004,0,1114,
1025,RL,Corner,1Fam,VinylSd,20,7700,5,1972,1972,468,882,112500
1832,RM,Inside,1Fam,Plywood,70,6876,5,1927,1950,0,720,
485,RL,Inside,1Fam,MetalSd,20,9600,7,1950,2007,0,1113,147000
2913,RM,Inside,Twnhs,CemntBd,160,1526,5,1970,1970,0,546,
927,RL,Inside,1Fam,MetalSd,60,9900,5,1968,1968,0,832,176000
1921,RL,Corner,1Fam,CemntBd,20,14463,5,2008,2008,0,1641,
2761,RL,Inside,1Fam,HdBoard,20,9510,5,1962,1985,0,1135,
2818,RL,Inside,Twnhs,VinylSd,150,1700,5,1980,1981,0,430,
210,RL,Inside,1Fam,Stucco,30,5604,6,1925,1950,0,864,98000
612,RL,Inside,1Fam,VinylSd,60,11885,5,2001,2001,0,1299,261500
670,RL,FR2,1Fam,VinylSd,60,8633,5,2005,2005,0,738,173500
2131,RM,Inside,1Fam,HdBoard,50,10320,6,1915,1978,0,880,
1947,RL,Inside,1Fam,AsbShng,20,47280,5,1950,1950,0,1488,
365,RM,Inside,1Fam,VinylSd,70,10690,7,1920,1997,0,672,147000
414,RL,CulDSac,1Fam,VinylSd,60,11228,5,1993,1993,531,1080,228000
965,RL,Inside,1Fam,VinylSd,60,10237,5,2005,2007,0,783,178900
1204,RL,Inside,1Fam,HdBoard,20,10140,6,1975,1975,0,1056,153500
1220,RL,Inside,1Fam,Wd Sdng,20,7800,5,1964,1964,600,912,115000
1808,RM,Corner,1Fam,VinylSd,70,9900,8,1910,2002,0,504,
867,RL,Corner,1Fam,VinylSd,20,6970,5,1961,1961,0,1040,129000
506,RL,Inside,1Fam,VinylSd,60,9554,5,1993,1994,0,777,215000
1178,RL,FR2,1Fam,Wd Sdng,50,7681,6,1921,1950,0,731,154900
407,RL,Inside,1Fam,Wd Sdng,70,15576,7,1915,1976,0,840,177000
2694,RL,Inside,1Fam,VinylSd,60,7800,5,2005,2005,0,891,
108,RM,Corner,1Fam,CemntBd,50,8500,7,1919,2005,0,793,115000
798,RL,Inside,1Fam,VinylSd,60,13518,5,2008,2009,0,1926,485000
819,RL,Inside,TwnhsE,VinylSd,120,6371,5,2009,2010,0,1358,224000
532,RL,Inside,1Fam,VinylSd,20,7200,7,1955,2007,0,0,107500
1425,RL,Inside,1Fam,HdBoard,20,10721,6,1959,1959,0,1252,142000
332,RL,Inside,1Fam,VinylSd,20,10655,5,2003,2004,479,3206,284000
1237,RL,FR2,1Fam,VinylSd,60,12393,5,2004,2005,0,847,195000
2083,RL,Inside,1Fam,MetalSd,20,7200,7,1954,1954,0,825,
1967,RL,Inside,1Fam,VinylSd,20,13693,5,2007,2007,495,2418,
1427,RL,Inside,1Fam,MetalSd,50,10930,6,1945,1950,0,913,140000
1916,RL,Inside,1Fam,CemntBd,60,10125,5,2000,2001,250,1107,
415,RL,Inside,1Fam,VinylSd,20,8899,5,2007,2007,0,1340,181134
937,RL,Inside,1Fam,VinylSd,60,9675,5,2005,2005,0,1113,253000
572,RL,Corner,1Fam,VinylSd,60,13159,5,2009,2009,0,846,224500
2164,RL,CulDSac,1Fam,Plywood,20,11500,6,1966,1966,723,1182,
903,RL,CulDSac,1Fam,VinylSd,20,14859,5,2006,2006,0,1670,240000
2918,RL,Inside,1Fam,HdBoard,60,9627,5,1993,1994,0,996,
2498,RL,CulDSac,1Fam,HdBoard,30,11515,5,1958,1994,0,0,
1502,FV,Inside,1Fam,CemntBd,20,12853,5,2010,2010,0,1642,
744,RL,Inside,TwnhsE,HdBoard,120,5395,5,1993,1993,0,1337,180000
432,RM,Inside,TwnhsE,HdBoard,160,1920,5,1971,1971,0,765,122500
199,RL,Inside,1Fam,VinylSd,20,9591,5,2004,2005,0,1713,274900
1177,RM,Inside,1Fam,MetalSd,50,3950,8,1926,2004,0,818,115000
1745,RL,FR2,1Fam,Plywood,80,9600,5,1976,1976,0,392,
2844,RL,Inside,1Fam,VinylSd,20,7200,8,1972,1972,0,864,
289,RL,Inside,1Fam,Wd Sdng,70,8730,7,1915,2003,0,698,153575
246,RM,Inside,2fmCon,AsbShng,190,9142,8,1910,1950,0,1020,137000
2593,RL,CulDSac,1Fam,Plywood,20,10331,7,1985,1985,80,1265,
283,RL,Inside,1Fam,VinylSd,20,9612,5,2008,2009,0,1468,244600
790,RL,Inside,TwnhsE,VinylSd,120,3182,5,2005,2006,0,1145,160200
231,RL,Inside,1Fam,VinylSd,60,15138,5,1995,1996,0,1462,403000
443,RL,Inside,TwnhsE,WdShing,120,3922,5,2006,2007,0,1258,172500
313,RL,Inside,1Fam,BrkFace,20,215245,5,1965,1965,820,2136,375000
527,RL,Inside,1Fam,VinylSd,60,14948,5,2008,2008,0,1452,446261
2825,RL,Inside,1Fam,MetalSd,20,10519,8,1955,1999,0,1057,
96,RL,Inside,1Fam,VinylSd,20,10264,5,1999,1999,0,1588,214000
1292,RM,Corner,1Fam,Wd Sdng,70,6600,4,1892,1965,0,994,107500
2171,RL,Inside,1Fam,HdBoard,20,9216,6,1975,1975,0,1076,
2464,RL,Inside,1Fam,Wd Sdng,50,8850,7,1920,1950,0,768,
610,RL,Inside,1Fam,VinylSd,60,11050,5,2000,2000,0,1440,313000
1037,RL,Inside,1Fam,VinylSd,60,9240,5,2001,2002,0,1055,287000
1572,RL,Inside,1Fam,VinylSd,20,17485,5,2009,2010,0,1508,
2787,RM,Inside,1Fam,Wd Sdng,30,5747,4,1920,1950,0,798,
2516,RL,Inside,1Fam,VinylSd,20,8428,7,1994,1994,0,990,
2121,RM,Inside,1Fam,MetalSd,50,6240,7,1929,1950,0,704,
1278,RL,Inside,1Fam,VinylSd,60,9473,5,2002,2002,0,1128,237000
104,RM,Corner,1Fam,Stucco,50,7758,4,1931,1950,0,1040,169500
2080,RL,Inside,1Fam,MetalSd,50,7200,5,1954,1954,0,854,
1720,RL,Inside,1Fam,VinylSd,20,13072,5,2004,2005,0,1114,
2232,RL,Corner,1Fam,Plywood,20,18265,5,1986,1986,60,1256,
2719,RL,Inside,1Fam,HdBoard,20,10140,6,1967,1967,68,1334,
1878,RL,CulDSac,1Fam,MetalSd,20,16269,5,1978,1978,0,907,
2344,RL,Inside,1Fam,VinylSd,60,8778,5,2006,2006,0,1302,
226,RL,Inside,1Fam,VinylSd,60,9950,5,1995,1995,0,1203,290000
2384,RL,Corner,1Fam,HdBoard,20,10738,7,1966,1966,0,1093,
2341,RL,Inside,1Fam,VinylSd,20,8847,5,2005,2005,0,1538,
979,RL,Corner,1Fam,VinylSd,20,8816,6,1963,1963,0,1121,139000
1190,RL,Inside,2fmCon,MetalSd,190,32463,4,1961,1975,0,1249,168000
2430,RL,Inside,1Fam,WdShing,20,7200,3,1950,1950,0,864,
464,RL,Inside,1Fam,HdBoard,20,8430,5,1978,1978,0,1040,124000
602,RL,Inside,1Fam,HdBoard,60,10041,5,1992,1992,0,908,220000
2674,RL,Inside,TwnhsE,VinylSd,120,3010,5,2005,2006,0,1142,
1225,RL,Inside,1Fam,VinylSd,80,10482,8,1958,1958,0,588,145000
528,RL,Inside,1Fam,Wd Sdng,30,9098,7,1920,2002,0,528,86000
1480,RL,Corner,1Fam,VinylSd,60,13650,5,2002,2002,0,1671,
1455,RL,Inside,1Fam,VinylSd,60,7917,5,1999,2000,0,953,175000
212,FV,Inside,1Fam,VinylSd,60,8640,5,2009,2009,0,900,252678
12,RL,Inside,1Fam,HdBoard,20,12968,6,1962,1962,0,912,144000
897,RL,Inside,Duplex,Plywood,90,7018,5,1979,1979,0,0,142953
422,RL,Inside,1Fam,HdBoard,20,21750,5,1954,1954,0,988,113000
691,RL,Corner,1Fam,HdBoard,60,21535,6,1994,1995,0,2444,755000
2567,RL,CulDSac,1Fam,Wd Sdng,20,25485,4,1960,1960,1020,1560,
2905,RM,Inside,Duplex,MetalSd,90,7020,5,1997,1997,0,1288,
1192,RM,Inside,1Fam,VinylSd,50,9600,8,1925,1994,0,702,125000
1815,RM,Inside,1Fam,Stucco,30,8520,8,1923,1950,0,624,
509,RL,Corner,1Fam,MetalSd,20,9600,6,1959,1959,0,1041,124500
748,RL,Inside,1Fam,VinylSd,20,10593,5,1996,1996,0,1720,260400
1505,RL,Inside,1Fam,HdBoard,20,10456,6,1967,1967,0,1829,
1452,RM,Inside,TwnhsE,VinylSd,180,3675,5,2005,2005,0,547,145000
2571,RM,Inside,TwnhsE,HdBoard,120,3907,5,1988,1988,0,1004,
518,RL,CulDSac,1Fam,VinylSd,60,9531,5,1998,1998,0,794,211000
2414,RL,Inside,Duplex,Wd Sdng,90,8078,5,1958,1958,0,1560,
2285,RL,Inside,1Fam,HdBoard,20,7150,6,1966,1966,0,988,
1820,RM,Inside,1Fam,MetalSd,50,5400,6,1920,1950,0,972,
1055,RL,Inside,1Fam,Plywood,20,11361,5,1976,1976,0,1193,180000
1326,RH,Inside,1Fam,MetalSd,30,4270,6,1931,2006,0,544,79000
1234,RH,Inside,1Fam,MetalSd,70,8525,6,1911,1950,0,940,130000
2339,RL,Inside,1Fam,CemntBd,20,12291,5,2007,2007,0,1966,
2629,RL,CulDSac,1Fam,VinylSd,60,12292,5,2006,2006,0,1094,
2830,RL,Inside,1Fam,VinylSd,20,7488,5,2005,2005,0,1208,
358,RL,Inside,1Fam,Wd Sdng,80,6930,4,1958,1958,294,1062,130000
662,RL,Corner,1Fam,Wd Sdng,20,13560,3,1968,1968,0,1392,110000
1665,RL,FR3,1Fam,VinylSd,20,16870,5,2004,2005,0,1782,
259,RM,Inside,1Fam,BrkFace,20,12702,5,1956,1956,0,0,97000
755,FV,Inside,TwnhsE,MetalSd,160,3230,5,1999,1999,0,729,172500
2328,RL,Inside,1Fam,VinylSd,60,9487,5,2000,2000,0,915,
1474,RL,FR2,Twnhs,Plywood,120,2280,6,1975,1975,0,836,
1748,RL,Inside,1Fam,HdBoard,20,9600,5,1969,1969,147,1288,
2839,RL,CulDSac,1Fam,VinylSd,20,8685,5,1998,1998,0,1425,
2348,FV,Corner,1Fam,VinylSd,60,10411,5,2007,2007,0,725,
1385,RM,Inside,1Fam,VinylSd,50,5436,8,1922,2007,0,796,125500
677,RL,Inside,1Fam,VinylSd,30,9022,8,1924,2006,0,768,109500
2643,RM,Inside,TwnhsE,HdBoard,160,2160,6,1973,1973,0,765,
2260,RL,Inside,TwnhsE,CemntBd,120,4740,5,1988,1988,0,1166,
456,RM,Inside,1Fam,AsbShng,70,4571,5,1916,1950,0,624,98000
462,RL,Inside,1Fam,MetalSd,20,8281,5,1965,1965,311,864,62383
2724,RL,Inside,1Fam,Plywood,20,9759,5,1966,1966,0,1051,
2766,RL,Corner,Duplex,BrkFace,90,8544,4,1950,1950,0,0,
381,FV,Inside,1Fam,VinylSd,20,7200,5,2006,2006,0,1293,187750
1435,RL,Inside,1Fam,Wd Sdng,20,8400,9,1962,2005,0,1319,174000
1034,RL,Inside,1Fam,MetalSd,30,6305,7,1938,1950,0,920,119750
2750,RL,Inside,1Fam,MetalSd,20,15428,6,1951,1991,0,884,
2737,RL,Inside,Duplex,Plywood,90,8917,5,1967,1967,0,1584,
1295,RL,Inside,1Fam,HdBoard,20,8400,5,1968,1968,0,1052,138500
1779,RL,Corner,1Fam,WdShing,60,11419,7,1948,1999,0,699,
2334,RL,Inside,1Fam,VinylSd,60,11762,5,1992,1993,0,1105,
2510,RL,Inside,1Fam,VinylSd,20,7242,5,2005,2006,0,1270,
2880,RL,Inside,1Fam,Wd Sdng,50,21780,5,1920,1950,0,817,
2295,RL,Corner,1Fam,VinylSd,60,16659,5,2007,2008,0,1582,
2222,RL,Inside,1Fam,MetalSd,20,23730,5,1996,1997,0,1840,
1090,RL,Corner,Duplex,BrkFace,90,8544,4,1950,1950,0,0,92900
542,RL,Inside,1Fam,VinylSd,20,10140,5,1998,1999,1127,1650,213250
2650,RL,Inside,Twnhs,Plywood,160,2179,5,1976,1976,0,855,
1709,FV,Inside,1Fam,VinylSd,20,7500,5,2006,2007,0,1372,
869,RL,Inside,1Fam,MetalSd,60,9938,5,1993,1994,0,1050,236000
2355,RL,Inside,1Fam,VinylSd,20,12450,5,2003,2004,0,1094,
2914,RM,Inside,Twnhs,CemntBd,160,1936,7,1970,1970,0,546,
1561,RL,Inside,1Fam,HdBoard,20,7800,7,1966,2008,474,864,
605,RL,Inside,1Fam,HdBoard,60,13600,6,1965,1990,0,768,205000
2816,RL,Inside,1Fam,WdShing,20,13050,6,1963,1963,850,1000,
911,RL,CulDSac,1Fam,HdBoard,20,9286,7,1977,1989,0,1268,143500
1395,RL,Inside,1Fam,VinylSd,60,12665,5,2005,2006,0,1094,281213
1565,RL,Inside,1Fam,Wd Sdng,20,20062,7,1977,2001,0,1420,
2859,RL,CulDSac,Duplex,Plywood,90,7840,5,1975,1975,0,976,
435,RL,CulDSac,1Fam,VinylSd,60,10667,6,1996,1996,344,799,212000
700,RL,Inside,1Fam,VinylSd,20,14331,5,2002,2002,0,1800,312500
237,RL,CulDSac,1Fam,HdBoard,60,9453,7,1993,2003,0,996,194500
1216,RM,Inside,Duplex,VinylSd,90,8930,5,1978,1978,0,0,112000
109,RL,Inside,1Fam,Plywood,20,11751,6,1977,1977,0,1844,190000
2457,RM,Inside,1Fam,MetalSd,70,6000,6,1939,1950,0,600,
163,RL,Inside,1Fam,MetalSd,45,5500,6,1956,1956,0,882,103200
1962,RM,Inside,Twnhs,HdBoard,160,1890,6,1972,1972,0,483,
252,RL,Inside,1Fam,VinylSd,60,8366,5,2004,2004,0,798,173000
1845,RL,Inside,1Fam,Wd Sdng,80,15312,5,1960,1960,0,1138,
1453,RL,Inside,1Fam,VinylSd,20,17217,5,2006,2006,0,1140,84500
1010,RL,Inside,1Fam,Wd Sdng,50,21286,5,1948,1950,0,720,135000
1486,RL,CulDSac,1Fam,VinylSd,60,17433,5,1998,1998,0,1629,
1457,RL,Inside,1Fam,CemntBd,70,9042,9,1941,2006,0,1152,266500
644,FV,Inside,1Fam,CemntBd,20,9187,5,2009,2009,0,1766,370878
2268,RL,Inside,1Fam,HdBoard,20,10960,5,1984,1984,0,1284,
847,RL,CulDSac,1Fam,HdBoard,20,15523,6,1972,1972,0,864,133500
2254,RL,Inside,1Fam,VinylSd,60,8637,5,1999,2000,0,923,
2176,RL,CulDSac,1Fam,VinylSd,60,10905,5,2003,2003,0,1129,
1307,RL,Inside,1Fam,VinylSd,20,8072,5,1994,1995,0,990,138000
1620,RL,Inside,1Fam,HdBoard,60,10475,5,1991,1991,0,624,
2335,RL,Inside,1Fam,VinylSd,60,9044,5,1996,1997,0,1325,
461,RL,Inside,1Fam,Wd Sdng,70,7200,9,1936,2007,210,560,155000
2403,RL,Inside,1Fam,HdBoard,85,10050,6,1966,1966,0,793,
157,RL,Corner,1Fam,VinylSd,60,12003,5,2009,2010,0,774,269500
1786,RL,Corner,1Fam,VinylSd,70,7200,9,1910,2008,0,560,
1738,FV,Inside,Twnhs,MetalSd,160,2880,5,2004,2005,0,1376,
1566,RL,Corner,1Fam,Wd Sdng,30,9259,4,1927,1950,0,660,
2461,RM,Inside,1Fam,Wd Sdng,50,6240,7,1930,1992,0,966,
238,RL,Inside,1Fam,VinylSd,20,12030,5,2007,2007,0,1694,318000
1467,RL,Inside,1Fam,VinylSd,60,8402,5,1998,1998,0,789,
1735,RL,Inside,1Fam,VinylSd,20,7150,6,1962,1962,590,912,
1846,RL,Inside,1Fam,Wd Sdng,80,15584,5,1956,1956,0,825,
100,RL,Inside,1Fam,Plywood,20,10603,7,1977,2001,0,1610,205000
315,RL,Inside,1Fam,VinylSd,60,7795,5,2004,2005,0,716,188500
1345,RM,Inside,1Fam,MetalSd,30,6000,4,1920,1950,0,960,108500
2003,RL,Inside,1Fam,VinylSd,60,9428,5,2007,2008,0,955,
940,RL,Inside,Duplex,Plywood,90,12640,5,1976,1976,396,1728,150900
1117,RL,FR2,1Fam,VinylSd,20,9764,7,1967,2003,0,894,130000
261,RL,Inside,1Fam,CemntBd,60,9588,5,2007,2007,0,1482,276000
926,RL,Inside,1Fam,VinylSd,60,11999,5,2003,2004,0,1181,285000
2053,RL,Inside,1Fam,MetalSd,70,4882,7,1937,1950,0,348,
1960,RL,Inside,1Fam,MetalSd,20,7560,5,1971,1971,613,864,
2554,RL,Corner,1Fam,Wd Sdng,40,10042,8,1920,1995,278,660,
179,RM,Inside,1Fam,Wd Sdng,30,8520,6,1923,2006,0,968,100000
2252,RL,Inside,1Fam,VinylSd,80,8872,5,1997,1997,0,384,
2757,RL,Corner,1Fam,MetalSd,50,7008,8,1900,1998,0,448,
1407,RL,Corner,1Fam,HdBoard,20,8780,5,1985,1985,0,833,112000
1377,RL,Inside,1Fam,Wd Sdng,50,10998,5,1941,1960,420,984,117000
1089,FV,Inside,TwnhsE,MetalSd,120,3316,5,2005,2005,0,1247,197000
480,RL,FR2,1Fam,VinylSd,20,16033,5,2004,2005,0,1833,326000
742,RL,Inside,1Fam,VinylSd,20,8450,5,2000,2001,0,1349,179000
2369,FV,Inside,Twnhs,MetalSd,160,2280,5,1999,1999,0,744,
1918,RL,Inside,1Fam,Plywood,85,9360,7,1977,1977,116,957,
1048,RL,Inside,1Fam,HdBoard,20,21750,4,1960,2006,0,0,115000
930,RL,Inside,1Fam,VinylSd,20,8925,5,2007,2007,0,1466,201000
2349,FV,Inside,1Fam,WdShing,60,12217,5,2007,2007,0,955,
1591,RL,Inside,1Fam,MetalSd,30,4853,6,1924,1999,0,1107,
2505,RL,Inside,1Fam,VinylSd,20,9178,5,2007,2007,0,1643,
1272,RL,CulDSac,1Fam,HdBoard,20,13526,6,1965,1965,375,935,137000
1784,RL,Inside,1Fam,MetalSd,30,10230,7,1925,1950,0,1054,
676,RM,Inside,1Fam,AsbShng,70,9600,2,1900,1950,0,1095,87000
2063,RL,Corner,1Fam,MetalSd,20,9373,6,1953,1953,196,1152,
856,RL,Inside,1Fam,Plywood,80,10970,6,1978,1978,435,940,147000
247,RL,Inside,1Fam,Wd Sdng,20,11310,5,1954,1954,0,1367,140000
1700,RL,Inside,1Fam,HdBoard,60,11692,5,1993,1994,0,1173,
1398,RL,Inside,1Fam,VinylSd,50,7200,4,1950,1982,352,1208,138000
1990,RL,Inside,TwnhsE,VinylSd,120,7301,6,2007,2008,0,1350,
2700,RL,Inside,1Fam,VinylSd,60,9019,5,1994,1994,0,636,
347,RL,Inside,1Fam,Wd Sdng,20,17600,5,1960,1960,0,1478,157500
2500,RL,Inside,1Fam,Wd Sdng,20,9280,6,1951,1951,0,1342,
2504,RL,Inside,1Fam,VinylSd,60,9317,5,1994,2001,0,779,
2215,RM,Inside,1Fam,WdShing,50,9000,5,1958,1958,0,1151,
655,RM,Inside,Twnhs,HdBoard,160,1680,5,1971,1971,0,525,88000
1128,RL,Inside,1Fam,VinylSd,60,11796,5,2004,2005,0,847,215000
1952,RL,Corner,1Fam,HdBoard,20,13068,5,1976,1976,48,1211,
2553,RL,Inside,Duplex,Plywood,90,8741,6,1946,1950,0,1195,
2517,RL,Inside,1Fam,VinylSd,20,16561,5,1996,1996,0,1097,
1229,RL,Inside,1Fam,BrkFace,80,7910,5,1960,1960,0,1075,127000
2037,FV,Inside,TwnhsE,BrkFace,160,3951,5,1998,1999,842,970,
785,RL,Inside,1Fam,BrkFace,20,9790,5,1967,1967,630,1372,161500
1718,RL,Corner,1Fam,VinylSd,60,10628,5,2004,2004,0,835,
445,RL,Corner,1Fam,Wd Sdng,20,9855,5,1956,1956,0,1436,127500
617,RL,Corner,1Fam,MetalSd,45,7227,6,1954,1954,0,832,105500
1133,RL,Inside,1Fam,VinylSd,60,9828,5,1995,1995,0,1128,239500
2795,RL,Inside,1Fam,MetalSd,30,11672,5,1925,1950,0,816,
